Team,Season,State,Home_Wins,Home_Losses,Away_Wins,Away_Losses,Total_Wins,Total_Games,Win_Pct,Home_Win_Pct,Away_Win_Pct
Sydney,2022,NSW,10,2,8,5,18,25,72.0,83.33,61.54
West Coast,2022,WA,1,10,1,10,2,22,9.09,9.09,9.09
Western Bulldogs,2022,VIC,7,4,5,7,12,23,52.17,63.64,41.67
Adelaide,2023,SA,8,4,3,8,11,23,47.83,66.67,27.27
Brisbane Lions,2023,QLD,14,0,5,7,19,26,73.08,100.0,41.67
Carlton,2023,VIC,6,6,9,4,15,26,57.69,50.0,69.23
Collingwood,2023,VIC,13,2,8,3,21,26,80.77,86.67,72.73
Essendon,2023,VIC,7,5,4,7,11,23,47.83,58.33,36.36
Fremantle,2023,WA,5,7,5,6,10,23,43.48,41.67,45.45
Geelong,2023,VIC,8,4,2,8,10,23,43.48,66.67,20.0
Gold Coast,2023,QLD,7,4,2,10,9,23,39.13,63.64,16.67
Greater Western Sydney,2023,NSW,6,6,9,5,15,26,57.69,50.0,64.29
Hawthorn,2023,VIC,5,6,2,10,7,23,30.43,45.45,16.67
Melbourne,2023,VIC,9,3,7,6,16,25,64.0,75.0,53.85
North Melbourne,2023,VIC,2,9,1,11,3,23,13.04,18.18,8.33
Port Adelaide,2023,SA,10,3,7,5,17,25,68.0,76.92,58.33
Richmond,2023,VIC,6,5,4,7,10,23,43.48,54.55,36.36
St Kilda,2023,VIC,6,6,7,5,13,24,54.17,50.0,58.33
Sydney,2023,NSW,5,5,7,6,12,24,50.0,50.0,53.85
West Coast,2023,WA,2,9,1,11,3,23,13.04,18.18,8.33
Western Bulldogs,2023,VIC,5,6,7,5,12,23,52.17,45.45,58.33
Adelaide,2024,SA,5,6,3,8,8,23,34.78,45.45,27.27
Brisbane Lions,2024,QLD,9,4,9,4,18,27,66.67,69.23,69.23
Carlton,2024,VIC,6,5,7,6,13,24,54.17,54.55,53.85
Collingwood,2024,VIC,8,4,4,5,12,23,52.17,66.67,44.44
Essendon,2024,VIC,6,4,5,7,11,23,47.83,60.0,41.67
Fremantle,2024,WA,7,4,5,6,12,23,52.17,63.64,45.45
Geelong,2024,VIC,8,4,8,5,16,25,64.0,66.67,61.54
Gold Coast,2024,QLD,9,3,2,9,11,23,47.83,75.0,18.18
Greater Western Sydney,2024,NSW,9,3,6,7,15,25,60.0,75.0,46.15
Hawthorn,2024,VIC,8,3,7,7,15,25,60.0,72.73,50.0
Melbourne,2024,VIC,6,5,5,7,11,23,47.83,54.55,41.67
North Melbourne,2024,VIC,2,9,1,11,3,23,13.04,18.18,8.33
Port Adelaide,2024,SA,10,4,7,5,17,26,65.38,71.43,58.33
Richmond,2024,VIC,1,11,1,10,2,23,8.7,8.33,9.09
St Kilda,2024,VIC,7,4,4,8,11,23,47.83,63.64,33.33
Sydney,2024,NSW,11,3,8,4,19,26,73.08,78.57,66.67
West Coast,2024,WA,4,8,1,10,5,23,21.74,33.33,9.09
Western Bulldogs,2024,VIC,7,6,7,4,14,24,58.33,53.85,63.64
