Team,Opponent,Season,State,Game_Type,Venue,Venue_City,Month,Date,Team_Score,Opponent_Score,Win,Result
Sydney,Collingwood,2010,NSW,Home,Stadium Australia,Sydney,June,2010-06-26 19:10,71,96,0,L
Collingwood,Sydney,2010,VIC,Away,Stadium Australia,Sydney,June,2010-06-26 19:10,96,71,1,W
Adelaide,Melbourne,2010,SA,Home,Football Park,Adelaide,June,2010-06-27 14:40,117,73,1,W
Melbourne,Adelaide,2010,VIC,Away,Football Park,Adelaide,June,2010-06-27 14:40,73,117,0,L
Carlton,Brisbane Lions,2010,VIC,Home,Docklands,Melbourne,July,2010-07-01 19:10,120,65,1,W
Brisbane Lions,Carlton,2010,QLD,Away,Docklands,Melbourne,July,2010-07-01 19:10,65,120,0,L
Hawthorn,Western Bulldogs,2010,VIC,Home,M.C.G.,Melbourne,July,2010-07-02 19:40,79,76,1,W
Western Bulldogs,Hawthorn,2010,VIC,Away,M.C.G.,Melbourne,July,2010-07-02 19:40,76,79,0,L
Fremantle,Port Adelaide,2010,WA,Home,Subiaco,Perth,July,2010-07-03 13:10,115,58,1,W
Port Adelaide,Fremantle,2010,SA,Away,Subiaco,Perth,July,2010-07-03 13:10,58,115,0,L
Collingwood,West Coast,2010,VIC,Home,Docklands,Melbourne,July,2010-07-03 19:10,135,52,1,W
West Coast,Collingwood,2010,WA,Away,Docklands,Melbourne,July,2010-07-03 19:10,52,135,0,L
Adelaide,Essendon,2010,SA,Home,Football Park,Adelaide,July,2010-07-03 19:10,124,40,1,W
Essendon,Adelaide,2010,VIC,Away,Football Park,Adelaide,July,2010-07-03 19:10,40,124,0,L
Geelong,North Melbourne,2010,VIC,Home,Kardinia Park,Geelong,July,2010-07-04 13:10,98,63,1,W
North Melbourne,Geelong,2010,VIC,Away,Kardinia Park,Geelong,July,2010-07-04 13:10,63,98,0,L
Richmond,Sydney,2010,VIC,Home,M.C.G.,Melbourne,July,2010-07-04 14:10,89,85,1,W
Sydney,Richmond,2010,NSW,Away,M.C.G.,Melbourne,July,2010-07-04 14:10,85,89,0,L
St Kilda,Melbourne,2010,VIC,Home,Docklands,Melbourne,July,2010-07-04 16:40,100,65,1,W
Melbourne,St Kilda,2010,VIC,Away,Docklands,Melbourne,July,2010-07-04 16:40,65,100,0,L
Port Adelaide,Collingwood,2010,SA,Home,Football Park,Adelaide,July,2010-07-09 20:10,79,105,0,L
Collingwood,Port Adelaide,2010,VIC,Away,Football Park,Adelaide,July,2010-07-09 20:10,105,79,1,W
Geelong,Hawthorn,2010,VIC,Home,M.C.G.,Melbourne,July,2010-07-10 14:10,85,83,1,W
